Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [4][112/112]	L_Src_Sup 1.4909e+00 (4.1265e-01)	L_Trg_Inj 1.6028e+00 (3.6407e-01)	Loss Disc 6.8971e-01 (6.8543e-01)	Loss Pred 8.3701e-01 (8.6045e-01)	Loss TOTAL 1.4912e+00 (1.3807e+00)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/112]	L_Src_Sup 3.3557e-01 (1.1582e+00)	L_Trg_Inj 8.3318e-01 (1.3335e+00)	Loss Disc 6.4140e-01 (6.7437e-01)	Loss Pred 8.3363e-01 (8.1737e-01)	Loss TOTAL 1.2712e+00 (1.4174e+00)
Epoch: [5][ 20/112]	L_Src_Sup 3.3313e-01 (7.8264e-01)	L_Trg_Inj 1.0923e-01 (9.3642e-01)	Loss Disc 6.7575e-01 (6.6254e-01)	Loss Pred 8.0068e-01 (8.1547e-01)	Loss TOTAL 1.4067e+00 (1.3496e+00)
Epoch: [5][ 30/112]	L_Src_Sup 7.2920e-01 (7.8840e-01)	L_Trg_Inj 1.0664e+00 (9.6323e-01)	Loss Disc 6.4647e-01 (6.6298e-01)	Loss Pred 8.0921e-01 (8.1124e-01)	Loss TOTAL 1.3120e+00 (1.3413e+00)
Epoch: [5][ 40/112]	L_Src_Sup 2.1361e-01 (6.5580e-01)	L_Trg_Inj 2.7973e-01 (7.9485e-01)	Loss Disc 6.3507e-01 (6.5997e-01)	Loss Pred 7.9720e-01 (8.0930e-01)	Loss TOTAL 1.1641e+00 (1.3131e+00)
Epoch: [5][ 50/112]	L_Src_Sup 1.3263e-01 (5.9010e-01)	L_Trg_Inj 2.0656e-01 (7.2682e-01)	Loss Disc 6.6451e-01 (6.5898e-01)	Loss Pred 7.9565e-01 (8.0801e-01)	Loss TOTAL 1.1618e+00 (1.2939e+00)
Epoch: [5][ 60/112]	L_Src_Sup 4.0033e-01 (5.3066e-01)	L_Trg_Inj 1.5232e-01 (6.5968e-01)	Loss Disc 6.6617e-01 (6.6146e-01)	Loss Pred 7.8190e-01 (8.0445e-01)	Loss TOTAL 1.4183e+00 (1.2823e+00)
Epoch: [5][ 70/112]	L_Src_Sup 1.5069e-01 (4.9932e-01)	L_Trg_Inj 4.1875e-01 (6.3224e-01)	Loss Disc 6.4615e-01 (6.6216e-01)	Loss Pred 7.5297e-01 (8.0075e-01)	Loss TOTAL 1.1330e+00 (1.2746e+00)
Epoch: [5][ 80/112]	L_Src_Sup 4.2167e-01 (4.6902e-01)	L_Trg_Inj 5.8143e-01 (6.0400e-01)	Loss Disc 6.7957e-01 (6.6329e-01)	Loss Pred 7.8475e-01 (7.9650e-01)	Loss TOTAL 1.2248e+00 (1.2630e+00)
Epoch: [5][ 90/112]	L_Src_Sup 7.7916e-01 (4.5735e-01)	L_Trg_Inj 1.0096e+00 (5.8177e-01)	Loss Disc 6.8223e-01 (6.6534e-01)	Loss Pred 7.9976e-01 (7.9450e-01)	Loss TOTAL 1.3197e+00 (1.2613e+00)
Epoch: [5][100/112]	L_Src_Sup 5.4953e-01 (4.4384e-01)	L_Trg_Inj 6.3162e-01 (5.7060e-01)	Loss Disc 6.7300e-01 (6.6636e-01)	Loss Pred 7.4554e-01 (7.9253e-01)	Loss TOTAL 1.2001e+00 (1.2575e+00)
Epoch: [5][110/112]	L_Src_Sup 3.7912e-01 (4.2470e-01)	L_Trg_Inj 1.1281e-01 (5.5633e-01)	Loss Disc 6.9786e-01 (6.6723e-01)	Loss Pred 7.6559e-01 (7.8949e-01)	Loss TOTAL 1.4300e+00 (1.2513e+00)
Epoch: [5][112/112]	L_Src_Sup 2.2330e-01 (4.2115e-01)	L_Trg_Inj 4.2675e-01 (5.5304e-01)	Loss Disc 6.7342e-01 (6.6736e-01)	Loss Pred 7.3898e-01 (7.8850e-01)	Loss TOTAL 1.1407e+00 (1.2492e+00)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 3.7466e-01 (2.5102e-01)	L_Trg_Inj 4.2575e-01 (3.8754e-01)	Loss Disc 6.8988e-01 (6.8967e-01)	Loss Pred 7.7010e-01 (7.4407e-01)	Loss TOTAL 1.1951e+00 (1.1607e+00)
Epoch: [6][ 20/112]	L_Src_Sup 9.2889e-03 (2.8519e-01)	L_Trg_Inj 3.5177e-01 (4.0638e-01)	Loss Disc 6.8300e-01 (6.9121e-01)	Loss Pred 7.4948e-01 (7.4948e-01)	Loss TOTAL 1.1271e+00 (1.1723e+00)
Epoch: [6][ 30/112]	L_Src_Sup 3.2385e-01 (2.7707e-01)	L_Trg_Inj 1.2881e-01 (3.7200e-01)	Loss Disc 6.9092e-01 (6.9062e-01)	Loss Pred 7.7818e-01 (7.4833e-01)	Loss TOTAL 1.3640e+00 (1.1818e+00)
Epoch: [6][ 40/112]	L_Src_Sup 2.3211e-01 (3.1576e-01)	L_Trg_Inj 8.8977e-01 (4.4511e-01)	Loss Disc 6.7918e-01 (6.8830e-01)	Loss Pred 7.1772e-01 (7.4374e-01)	Loss TOTAL 1.1695e+00 (1.1899e+00)
Epoch: [6][ 50/112]	L_Src_Sup 1.7747e-01 (2.9569e-01)	L_Trg_Inj 5.8770e-02 (4.5582e-01)	Loss Disc 7.0365e-01 (6.8709e-01)	Loss Pred 7.4912e-01 (7.4218e-01)	Loss TOTAL 1.2433e+00 (1.1840e+00)
Epoch: [6][ 60/112]	L_Src_Sup 7.1603e-02 (2.8972e-01)	L_Trg_Inj 5.3023e-01 (4.5829e-01)	Loss Disc 6.7374e-01 (6.8638e-01)	Loss Pred 7.4336e-01 (7.4076e-01)	Loss TOTAL 1.1404e+00 (1.1816e+00)
Epoch: [6][ 70/112]	L_Src_Sup 3.0967e-01 (2.7826e-01)	L_Trg_Inj 2.6479e-01 (4.5553e-01)	Loss Disc 6.9477e-01 (6.8656e-01)	Loss Pred 6.9100e-01 (7.3844e-01)	Loss TOTAL 1.1407e+00 (1.1781e+00)
Epoch: [6][ 80/112]	L_Src_Sup 1.9170e-01 (2.8765e-01)	L_Trg_Inj 4.4611e-01 (4.6784e-01)	Loss Disc 6.8203e-01 (6.8663e-01)	Loss Pred 7.5392e-01 (7.3597e-01)	Loss TOTAL 1.1587e+00 (1.1773e+00)
Epoch: [6][ 90/112]	L_Src_Sup 7.5342e-02 (2.8323e-01)	L_Trg_Inj 5.2381e-01 (4.7614e-01)	Loss Disc 6.9002e-01 (6.8696e-01)	Loss Pred 7.0049e-01 (7.3397e-01)	Loss TOTAL 1.1054e+00 (1.1740e+00)
Epoch: [6][100/112]	L_Src_Sup 3.3241e-01 (2.7686e-01)	L_Trg_Inj 5.6426e-01 (4.6339e-01)	Loss Disc 6.9623e-01 (6.8796e-01)	Loss Pred 7.3536e-01 (7.3454e-01)	Loss TOTAL 1.1731e+00 (1.1724e+00)
Epoch: [6][110/112]	L_Src_Sup 5.7093e-02 (2.6849e-01)	L_Trg_Inj 1.6694e-01 (4.5040e-01)	Loss Disc 6.9606e-01 (6.8831e-01)	Loss Pred 7.3179e-01 (7.3356e-01)	Loss TOTAL 1.1022e+00 (1.1685e+00)
Epoch: [6][112/112]	L_Src_Sup 3.9149e-01 (2.6769e-01)	L_Trg_Inj 2.1352e-01 (4.4602e-01)	Loss Disc 6.9445e-01 (6.8840e-01)	Loss Pred 7.2463e-01 (7.3358e-01)	Loss TOTAL 1.3103e+00 (1.1693e+00)
Epoch 6 complete. Saving model state...
Epoch: [7][ 10/112]	L_Src_Sup 2.3364e-01 (1.5525e-01)	L_Trg_Inj 3.8784e-01 (3.3691e-01)	Loss Disc 6.8756e-01 (6.9193e-01)	Loss Pred 6.8785e-01 (7.0803e-01)	Loss TOTAL 1.0938e+00 (1.1273e+00)
Epoch: [7][ 20/112]	L_Src_Sup 1.2434e-01 (1.6060e-01)	L_Trg_Inj 4.9730e-01 (3.1916e-01)	Loss Disc 6.8757e-01 (6.9190e-01)	Loss Pred 7.3145e-01 (7.1201e-01)	Loss TOTAL 1.1374e+00 (1.1294e+00)
Epoch: [7][ 30/112]	L_Src_Sup 4.6543e-01 (1.8195e-01)	L_Trg_Inj 4.2810e-01 (3.6051e-01)	Loss Disc 6.8848e-01 (6.9026e-01)	Loss Pred 6.9367e-01 (7.0922e-01)	Loss TOTAL 1.1646e+00 (1.1261e+00)
Epoch: [7][ 40/112]	L_Src_Sup 1.1266e-01 (1.8881e-01)	L_Trg_Inj 2.1419e-01 (3.8803e-01)	Loss Disc 6.8783e-01 (6.8908e-01)	Loss Pred 7.2637e-01 (7.0914e-01)	Loss TOTAL 1.1030e+00 (1.1245e+00)
Epoch: [7][ 50/112]	L_Src_Sup 3.7239e-01 (1.9204e-01)	L_Trg_Inj 7.0969e-01 (3.7645e-01)	Loss Disc 6.8802e-01 (6.8925e-01)	Loss Pred 7.1582e-01 (7.0343e-01)	Loss TOTAL 1.1680e+00 (1.1265e+00)
Epoch: [7][ 60/112]	L_Src_Sup 1.5430e-01 (1.9211e-01)	L_Trg_Inj 5.0422e-01 (4.1118e-01)	Loss Disc 6.8431e-01 (6.8815e-01)	Loss Pred 6.6117e-01 (6.9994e-01)	Loss TOTAL 1.0692e+00 (1.1226e+00)
Epoch: [7][ 70/112]	L_Src_Sup 4.2532e-01 (1.9674e-01)	L_Trg_Inj 3.8234e-01 (4.3382e-01)	Loss Disc 6.8603e-01 (6.8712e-01)	Loss Pred 6.9462e-01 (6.9863e-01)	Loss TOTAL 1.1614e+00 (1.1226e+00)
Epoch: [7][ 80/112]	L_Src_Sup 1.2647e-01 (2.0674e-01)	L_Trg_Inj 7.1673e-01 (4.5850e-01)	Loss Disc 6.7799e-01 (6.8603e-01)	Loss Pred 6.3174e-01 (6.9681e-01)	Loss TOTAL 1.0551e+00 (1.1226e+00)
