Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.442593226780509, std[0]=1.2340775789629297)
Loading Target Train...
Epoch: [4][ 50/112]	L_Src_Sup 0.0000e+00 (2.2884e-01)	L_Trg_Inj 4.7308e-01 (4.8813e-01)	Loss Disc 6.8570e-01 (6.8543e-01)	Loss Pred 8.3158e-01 (8.5248e-01)	Loss TOTAL 1.2217e+00 (1.2751e+00)
Epoch: [4][ 60/112]	L_Src_Sup 3.7153e-01 (2.1940e-01)	L_Trg_Inj 4.1400e-01 (4.8566e-01)	Loss Disc 6.8749e-01 (6.8548e-01)	Loss Pred 8.1973e-01 (8.4777e-01)	Loss TOTAL 1.2420e+00 (1.2712e+00)
Epoch: [4][ 70/112]	L_Src_Sup 2.0048e-01 (2.0904e-01)	L_Trg_Inj 4.9131e-01 (4.8993e-01)	Loss Disc 6.8428e-01 (6.8527e-01)	Loss Pred 8.2141e-01 (8.4256e-01)	Loss TOTAL 1.2327e+00 (1.2638e+00)
Epoch: [4][ 80/112]	L_Src_Sup 2.8792e-01 (2.1071e-01)	L_Trg_Inj 5.6084e-01 (4.8532e-01)	Loss Disc 6.8372e-01 (6.8529e-01)	Loss Pred 8.1927e-01 (8.3813e-01)	Loss TOTAL 1.2460e+00 (1.2589e+00)
Epoch: [4][ 90/112]	L_Src_Sup 2.4983e-01 (2.0051e-01)	L_Trg_Inj 4.6349e-01 (4.8632e-01)	Loss Disc 6.8565e-01 (6.8523e-01)	Loss Pred 7.9234e-01 (8.3340e-01)	Loss TOTAL 1.2065e+00 (1.2523e+00)
Epoch: [4][100/112]	L_Src_Sup 1.3334e-01 (1.9555e-01)	L_Trg_Inj 4.4068e-01 (4.8760e-01)	Loss Disc 6.8632e-01 (6.8513e-01)	Loss Pred 7.8038e-01 (8.2903e-01)	Loss TOTAL 1.1809e+00 (1.2467e+00)
Epoch: [4][110/112]	L_Src_Sup 2.2207e-01 (2.0427e-01)	L_Trg_Inj 4.5811e-01 (4.9038e-01)	Loss Disc 6.8643e-01 (6.8495e-01)	Loss Pred 7.5136e-01 (8.2432e-01)	Loss TOTAL 1.1626e+00 (1.2465e+00)
Epoch: [4][112/112]	L_Src_Sup 0.0000e+00 (2.0140e-01)	L_Trg_Inj 3.6351e-01 (4.8891e-01)	Loss Disc 6.8974e-01 (6.8501e-01)	Loss Pred 7.6982e-01 (8.2359e-01)	Loss TOTAL 1.1510e+00 (1.2452e+00)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/112]	L_Src_Sup 1.0524e-01 (1.6484e-01)	L_Trg_Inj 4.7211e-01 (4.8087e-01)	Loss Disc 6.8352e-01 (6.8425e-01)	Loss Pred 7.7527e-01 (7.6430e-01)	Loss TOTAL 1.1748e+00 (1.1710e+00)
