Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.528459487976898, std[0]=0.2838205993686952)
Loading Target Train...
Epoch: [5][ 70/140]	L_Src_Sup 2.5562e-01 (2.0379e-01)	L_Trg_Inj 2.9616e-01 (2.9588e-01)	Loss Disc 6.8900e-01 (6.8790e-01)	Loss Pred 4.5178e-01 (4.7139e-01)	Loss TOTAL 8.5146e-01 (8.6978e-01)
Epoch: [5][ 80/140]	L_Src_Sup 4.1255e-01 (2.4805e-01)	L_Trg_Inj 2.9859e-01 (3.0971e-01)	Loss Disc 6.6443e-01 (6.8660e-01)	Loss Pred 5.6346e-01 (4.8348e-01)	Loss TOTAL 1.0807e+00 (9.1766e-01)
Epoch: [5][ 90/140]	L_Src_Sup 2.3712e-01 (2.4665e-01)	L_Trg_Inj 3.4436e-01 (3.1363e-01)	Loss Disc 6.5081e-01 (6.8206e-01)	Loss Pred 4.7362e-01 (4.8810e-01)	Loss TOTAL 8.5718e-01 (9.1650e-01)
Epoch: [5][100/140]	L_Src_Sup 2.0455e-01 (2.4244e-01)	L_Trg_Inj 2.0418e-01 (3.1536e-01)	Loss Disc 6.5719e-01 (6.7946e-01)	Loss Pred 5.0328e-01 (4.8996e-01)	Loss TOTAL 8.7312e-01 (9.1409e-01)
Epoch: [5][110/140]	L_Src_Sup 2.7353e-01 (2.3848e-01)	L_Trg_Inj 2.6096e-01 (3.1441e-01)	Loss Disc 6.3146e-01 (6.7703e-01)	Loss Pred 4.5440e-01 (4.8960e-01)	Loss TOTAL 8.3615e-01 (9.0953e-01)
Epoch: [5][120/140]	L_Src_Sup 2.8476e-01 (2.3754e-01)	L_Trg_Inj 2.3460e-01 (3.1340e-01)	Loss Disc 6.4734e-01 (6.7543e-01)	Loss Pred 4.8399e-01 (4.8917e-01)	Loss TOTAL 9.0975e-01 (9.0645e-01)
Epoch: [5][130/140]	L_Src_Sup 3.0642e-01 (2.3513e-01)	L_Trg_Inj 3.1652e-01 (3.1214e-01)	Loss Disc 6.5575e-01 (6.7374e-01)	Loss Pred 4.9362e-01 (4.8866e-01)	Loss TOTAL 8.8378e-01 (9.0321e-01)
Epoch: [5][140/140]	L_Src_Sup 2.3207e-01 (2.3345e-01)	L_Trg_Inj 3.2641e-01 (3.1064e-01)	Loss Disc 6.5960e-01 (6.7258e-01)	Loss Pred 4.8847e-01 (4.8722e-01)	Loss TOTAL 8.7412e-01 (8.9991e-01)
Epoch: [5][140/140]	L_Src_Sup 2.3207e-01 (2.3345e-01)	L_Trg_Inj 3.2641e-01 (3.1064e-01)	Loss Disc 6.5960e-01 (6.7258e-01)	Loss Pred 4.8847e-01 (4.8722e-01)	Loss TOTAL 8.7412e-01 (8.9991e-01)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/140]	L_Src_Sup 1.8114e-01 (2.2567e-01)	L_Trg_Inj 3.4083e-01 (2.9970e-01)	Loss Disc 6.4887e-01 (6.4905e-01)	Loss Pred 5.1807e-01 (4.7428e-01)	Loss TOTAL 8.9471e-01 (8.6077e-01)
Epoch: [6][ 20/140]	L_Src_Sup 3.1463e-01 (2.3325e-01)	L_Trg_Inj 2.8538e-01 (3.1057e-01)	Loss Disc 6.4622e-01 (6.5074e-01)	Loss Pred 4.7474e-01 (4.7946e-01)	Loss TOTAL 8.8711e-01 (8.6539e-01)
