Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.250739126206178, std[0]=0.4471005807248076)
Loading Target Train...
Epoch: [6][ 60/112]	L_Src_Sup 0.0000e+00 (1.9942e-01)	L_Trg_Inj 4.3428e-01 (3.8579e-01)	Loss Disc 6.8675e-01 (6.8643e-01)	Loss Pred 6.6966e-01 (6.7421e-01)	Loss TOTAL 1.0565e+00 (1.1173e+00)
Epoch: [6][ 70/112]	L_Src_Sup 1.6664e-01 (2.0968e-01)	L_Trg_Inj 4.0372e-01 (4.0602e-01)	Loss Disc 6.8847e-01 (6.8594e-01)	Loss Pred 6.2259e-01 (6.7024e-01)	Loss TOTAL 1.0239e+00 (1.1102e+00)
Epoch: [6][ 80/112]	L_Src_Sup 1.4288e-01 (2.0908e-01)	L_Trg_Inj 5.4077e-01 (4.1885e-01)	Loss Disc 6.8244e-01 (6.8567e-01)	Loss Pred 6.2737e-01 (6.6642e-01)	Loss TOTAL 1.0370e+00 (1.1031e+00)
Epoch: [6][ 90/112]	L_Src_Sup 1.1775e-01 (2.1049e-01)	L_Trg_Inj 4.5494e-01 (4.2742e-01)	Loss Disc 6.8576e-01 (6.8552e-01)	Loss Pred 6.3886e-01 (6.6327e-01)	Loss TOTAL 1.0390e+00 (1.0974e+00)
Epoch: [6][100/112]	L_Src_Sup 0.0000e+00 (2.1072e-01)	L_Trg_Inj 3.8389e-01 (4.3087e-01)	Loss Disc 6.8815e-01 (6.8552e-01)	Loss Pred 6.2058e-01 (6.5952e-01)	Loss TOTAL 1.0030e+00 (1.0936e+00)
Epoch: [6][110/112]	L_Src_Sup 2.0002e-01 (2.0865e-01)	L_Trg_Inj 4.8634e-01 (4.3857e-01)	Loss Disc 6.8404e-01 (6.8532e-01)	Loss Pred 6.4568e-01 (6.5601e-01)	Loss TOTAL 1.0563e+00 (1.0881e+00)
Epoch: [6][112/112]	L_Src_Sup 5.0021e-01 (2.1204e-01)	L_Trg_Inj 4.5113e-01 (4.3990e-01)	Loss Disc 6.8577e-01 (6.8528e-01)	Loss Pred 5.9443e-01 (6.5576e-01)	Loss TOTAL 1.0815e+00 (1.0883e+00)
Epoch 6 complete. Saving model state...
Epoch: [7][ 10/112]	L_Src_Sup 2.0002e-01 (2.1810e-01)	L_Trg_Inj 4.4642e-01 (4.9125e-01)	Loss Disc 6.8602e-01 (6.8445e-01)	Loss Pred 6.3949e-01 (6.3041e-01)	Loss TOTAL 1.0471e+00 (1.0459e+00)
Epoch: [7][ 20/112]	L_Src_Sup 1.1761e-01 (1.9044e-01)	L_Trg_Inj 5.4755e-01 (4.9349e-01)	Loss Disc 6.8241e-01 (6.8430e-01)	Loss Pred 6.1454e-01 (6.1987e-01)	Loss TOTAL 1.0223e+00 (1.0316e+00)
Epoch: [7][ 30/112]	L_Src_Sup 1.6667e-01 (1.8167e-01)	L_Trg_Inj 4.4895e-01 (4.8556e-01)	Loss Disc 6.8566e-01 (6.8451e-01)	Loss Pred 5.7583e-01 (6.1642e-01)	Loss TOTAL 9.8022e-01 (1.0262e+00)
Epoch: [7][ 40/112]	L_Src_Sup 2.7327e-01 (1.9542e-01)	L_Trg_Inj 5.3625e-01 (4.6869e-01)	Loss Disc 6.8382e-01 (6.8470e-01)	Loss Pred 5.9025e-01 (6.1133e-01)	Loss TOTAL 1.0131e+00 (1.0314e+00)
Epoch: [7][ 50/112]	L_Src_Sup 2.5003e-01 (2.0056e-01)	L_Trg_Inj 4.6390e-01 (4.8608e-01)	Loss Disc 6.8494e-01 (6.8418e-01)	Loss Pred 6.4693e-01 (6.0809e-01)	Loss TOTAL 1.0608e+00 (1.0290e+00)
Epoch: [7][ 60/112]	L_Src_Sup 1.2500e-01 (1.9686e-01)	L_Trg_Inj 6.0636e-01 (4.9116e-01)	Loss Disc 6.7949e-01 (6.8387e-01)	Loss Pred 5.8589e-01 (6.0368e-01)	Loss TOTAL 9.9877e-01 (1.0238e+00)
Epoch: [7][ 70/112]	L_Src_Sup 1.6670e-01 (2.0690e-01)	L_Trg_Inj 7.1119e-01 (5.0332e-01)	Loss Disc 6.7787e-01 (6.8364e-01)	Loss Pred 5.5188e-01 (5.9882e-01)	Loss TOTAL 9.7861e-01 (1.0199e+00)
Epoch: [7][ 80/112]	L_Src_Sup 3.7500e-01 (2.0267e-01)	L_Trg_Inj 5.6598e-01 (5.1033e-01)	Loss Disc 6.8035e-01 (6.8325e-01)	Loss Pred 5.7591e-01 (5.9811e-01)	Loss TOTAL 1.0102e+00 (1.0183e+00)
