Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [4][112/112]	L_Src_Sup 2.5166e-01 (2.2092e-01)	L_Trg_Inj 3.9759e-01 (4.4093e-01)	Loss Disc 6.9189e-01 (6.8825e-01)	Loss Pred 7.7621e-01 (8.2500e-01)	Loss TOTAL 1.1871e+00 (1.2526e+00)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/112]	L_Src_Sup 5.4809e-01 (2.3810e-01)	L_Trg_Inj 4.8883e-01 (3.1154e-01)	Loss Disc 6.9185e-01 (6.9182e-01)	Loss Pred 7.5381e-01 (7.6797e-01)	Loss TOTAL 1.2627e+00 (1.1806e+00)
Epoch: [5][ 20/112]	L_Src_Sup 1.3341e-01 (2.2398e-01)	L_Trg_Inj 4.7042e-01 (3.8525e-01)	Loss Disc 6.8666e-01 (6.9023e-01)	Loss Pred 7.5495e-01 (7.6377e-01)	Loss TOTAL 1.1587e+00 (1.1757e+00)
Epoch: [5][ 30/112]	L_Src_Sup 0.0000e+00 (2.1512e-01)	L_Trg_Inj 2.9413e-01 (3.8624e-01)	Loss Disc 6.9218e-01 (6.8972e-01)	Loss Pred 7.4240e-01 (7.6053e-01)	Loss TOTAL 1.1179e+00 (1.1705e+00)
Epoch: [5][ 40/112]	L_Src_Sup 0.0000e+00 (2.0570e-01)	L_Trg_Inj 4.0189e-01 (4.0852e-01)	Loss Disc 6.9009e-01 (6.8914e-01)	Loss Pred 7.1466e-01 (7.5623e-01)	Loss TOTAL 1.0999e+00 (1.1674e+00)
Epoch: [5][ 50/112]	L_Src_Sup 0.0000e+00 (2.0631e-01)	L_Trg_Inj 6.6806e-01 (4.1879e-01)	Loss Disc 6.8587e-01 (6.8908e-01)	Loss Pred 7.2653e-01 (7.5490e-01)	Loss TOTAL 1.1363e+00 (1.1677e+00)
Epoch: [5][ 60/112]	L_Src_Sup 1.4297e-01 (2.0284e-01)	L_Trg_Inj 4.6945e-01 (4.1511e-01)	Loss Disc 6.8907e-01 (6.8933e-01)	Loss Pred 7.1829e-01 (7.5069e-01)	Loss TOTAL 1.1241e+00 (1.1619e+00)
Epoch: [5][ 70/112]	L_Src_Sup 1.6683e-01 (2.0224e-01)	L_Trg_Inj 4.4188e-01 (4.2411e-01)	Loss Disc 6.9091e-01 (6.8938e-01)	Loss Pred 7.0146e-01 (7.4623e-01)	Loss TOTAL 1.1078e+00 (1.1585e+00)
Epoch: [5][ 80/112]	L_Src_Sup 0.0000e+00 (2.0315e-01)	L_Trg_Inj 5.7460e-01 (4.3370e-01)	Loss Disc 6.8682e-01 (6.8922e-01)	Loss Pred 7.0683e-01 (7.4219e-01)	Loss TOTAL 1.1077e+00 (1.1555e+00)
