Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.219199755650582, std[0]=1.4933710387550707)
Loading Target Train...
Epoch: [4][ 70/140]	L_Src_Sup 1.2157e-01 (2.1279e-01)	L_Trg_Inj 2.5704e-01 (3.3718e-01)	Loss Disc 6.6939e-01 (6.6478e-01)	Loss Pred 6.3934e-01 (6.5220e-01)	Loss TOTAL 1.0119e+00 (1.0430e+00)
Epoch: [4][ 80/140]	L_Src_Sup 3.0234e-01 (2.1270e-01)	L_Trg_Inj 3.4983e-01 (3.3424e-01)	Loss Disc 6.6793e-01 (6.6490e-01)	Loss Pred 6.0524e-01 (6.4710e-01)	Loss TOTAL 1.0044e+00 (1.0383e+00)
Epoch: [4][ 90/140]	L_Src_Sup 2.2738e-01 (2.1261e-01)	L_Trg_Inj 3.2274e-01 (3.3295e-01)	Loss Disc 6.6412e-01 (6.6463e-01)	Loss Pred 6.3664e-01 (6.4461e-01)	Loss TOTAL 1.0237e+00 (1.0360e+00)
Epoch: [4][100/140]	L_Src_Sup 2.3013e-01 (2.1030e-01)	L_Trg_Inj 1.9582e-01 (3.2907e-01)	Loss Disc 6.7864e-01 (6.6472e-01)	Loss Pred 6.2992e-01 (6.4297e-01)	Loss TOTAL 1.0461e+00 (1.0336e+00)
Epoch: [4][110/140]	L_Src_Sup 3.0031e-01 (2.1024e-01)	L_Trg_Inj 2.7137e-01 (3.2795e-01)	Loss Disc 6.7254e-01 (6.6463e-01)	Loss Pred 6.5051e-01 (6.4003e-01)	Loss TOTAL 1.0729e+00 (1.0307e+00)
Epoch: [4][120/140]	L_Src_Sup 2.6275e-01 (2.0678e-01)	L_Trg_Inj 3.4641e-01 (3.2961e-01)	Loss Disc 6.5661e-01 (6.6455e-01)	Loss Pred 5.7215e-01 (6.3718e-01)	Loss TOTAL 9.6137e-01 (1.0272e+00)
Epoch: [4][130/140]	L_Src_Sup 4.0916e-02 (2.0323e-01)	L_Trg_Inj 2.5855e-01 (3.2664e-01)	Loss Disc 6.6913e-01 (6.6455e-01)	Loss Pred 6.2845e-01 (6.3559e-01)	Loss TOTAL 9.9296e-01 (1.0247e+00)
Epoch: [4][140/140]	L_Src_Sup 1.7510e-01 (2.0249e-01)	L_Trg_Inj 3.6675e-01 (3.2796e-01)	Loss Disc 6.5893e-01 (6.6439e-01)	Loss Pred 6.2770e-01 (6.3433e-01)	Loss TOTAL 1.0114e+00 (1.0232e+00)
Epoch: [4][140/140]	L_Src_Sup 1.7510e-01 (2.0249e-01)	L_Trg_Inj 3.6675e-01 (3.2796e-01)	Loss Disc 6.5893e-01 (6.6439e-01)	Loss Pred 6.2770e-01 (6.3433e-01)	Loss TOTAL 1.0114e+00 (1.0232e+00)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/140]	L_Src_Sup 1.7901e-01 (2.4544e-01)	L_Trg_Inj 3.3076e-01 (3.1210e-01)	Loss Disc 6.6419e-01 (6.6345e-01)	Loss Pred 6.2561e-01 (5.9159e-01)	Loss TOTAL 1.0087e+00 (9.8047e-01)
Epoch: [5][ 20/140]	L_Src_Sup 3.1809e-01 (2.3621e-01)	L_Trg_Inj 2.7493e-01 (3.1655e-01)	Loss Disc 6.5992e-01 (6.6148e-01)	Loss Pred 6.1251e-01 (5.9514e-01)	Loss TOTAL 1.0449e+00 (9.8437e-01)
Epoch: [5][ 30/140]	L_Src_Sup 2.4784e-01 (2.2969e-01)	L_Trg_Inj 3.0223e-01 (3.2229e-01)	Loss Disc 6.6526e-01 (6.6200e-01)	Loss Pred 6.2230e-01 (6.0057e-01)	Loss TOTAL 1.0099e+00 (9.8891e-01)
Epoch: [5][ 40/140]	L_Src_Sup 1.7502e-01 (2.2498e-01)	L_Trg_Inj 3.1295e-01 (3.1947e-01)	Loss Disc 6.6333e-01 (6.6341e-01)	Loss Pred 5.8896e-01 (5.9793e-01)	Loss TOTAL 9.6942e-01 (9.8682e-01)
Epoch: [5][ 50/140]	L_Src_Sup 2.8239e-01 (2.2033e-01)	L_Trg_Inj 2.8742e-01 (3.1422e-01)	Loss Disc 6.5978e-01 (6.6347e-01)	Loss Pred 6.1038e-01 (5.9746e-01)	Loss TOTAL 9.9725e-01 (9.8484e-01)
Epoch: [5][ 60/140]	L_Src_Sup 2.2291e-01 (2.1976e-01)	L_Trg_Inj 3.6513e-01 (3.1868e-01)	Loss Disc 6.5991e-01 (6.6417e-01)	Loss Pred 5.9337e-01 (5.9474e-01)	Loss TOTAL 9.8213e-01 (9.8335e-01)
Epoch: [5][ 70/140]	L_Src_Sup 2.5189e-01 (2.1579e-01)	L_Trg_Inj 3.3212e-01 (3.1557e-01)	Loss Disc 6.6044e-01 (6.6418e-01)	Loss Pred 6.1700e-01 (5.9545e-01)	Loss TOTAL 1.0056e+00 (9.8369e-01)
Epoch: [5][ 80/140]	L_Src_Sup 3.5463e-01 (2.1153e-01)	L_Trg_Inj 2.2682e-01 (3.1125e-01)	Loss Disc 6.7637e-01 (6.6420e-01)	Loss Pred 5.4896e-01 (5.9434e-01)	Loss TOTAL 1.0731e+00 (9.8295e-01)
Epoch: [5][ 90/140]	L_Src_Sup 1.3669e-01 (2.0913e-01)	L_Trg_Inj 2.9530e-01 (3.1037e-01)	Loss Disc 6.6628e-01 (6.6364e-01)	Loss Pred 5.7983e-01 (5.9434e-01)	Loss TOTAL 9.5617e-01 (9.8189e-01)
Epoch: [5][100/140]	L_Src_Sup 1.6651e-01 (2.0587e-01)	L_Trg_Inj 3.0325e-01 (3.0930e-01)	Loss Disc 6.6651e-01 (6.6385e-01)	Loss Pred 5.5247e-01 (5.9246e-01)	Loss TOTAL 9.3270e-01 (9.7971e-01)
Epoch: [5][110/140]	L_Src_Sup 1.3036e-01 (2.0487e-01)	L_Trg_Inj 3.5749e-01 (3.1108e-01)	Loss Disc 6.6044e-01 (6.6361e-01)	Loss Pred 5.3799e-01 (5.9006e-01)	Loss TOTAL 9.1699e-01 (9.7693e-01)
Epoch: [5][120/140]	L_Src_Sup 1.6342e-01 (2.0404e-01)	L_Trg_Inj 2.6457e-01 (3.1037e-01)	Loss Disc 6.6825e-01 (6.6359e-01)	Loss Pred 5.9005e-01 (5.8978e-01)	Loss TOTAL 9.6697e-01 (9.7620e-01)
Epoch: [5][130/140]	L_Src_Sup 2.4121e-01 (2.0322e-01)	L_Trg_Inj 2.0762e-01 (3.0651e-01)	Loss Disc 6.6539e-01 (6.6359e-01)	Loss Pred 5.5829e-01 (5.8803e-01)	Loss TOTAL 9.6945e-01 (9.7398e-01)
Epoch: [5][140/140]	L_Src_Sup 1.3800e-01 (2.0325e-01)	L_Trg_Inj 3.5464e-01 (3.0947e-01)	Loss Disc 6.6568e-01 (6.6366e-01)	Loss Pred 5.7088e-01 (5.8691e-01)	Loss TOTAL 9.5298e-01 (9.7329e-01)
