Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [5][ 10/112]	L_Src_Sup 2.0992e-01 (2.1455e-01)	L_Trg_Inj 3.5763e-01 (3.1917e-01)	Loss Disc 6.9360e-01 (6.9377e-01)	Loss Pred 7.9170e-01 (8.1166e-01)	Loss TOTAL 1.1953e+00 (1.2347e+00)
Epoch: [5][ 20/112]	L_Src_Sup 2.5808e-01 (1.9789e-01)	L_Trg_Inj 3.2226e-01 (3.1858e-01)	Loss Disc 6.9346e-01 (6.9369e-01)	Loss Pred 7.6834e-01 (8.0781e-01)	Loss TOTAL 1.1731e+00 (1.2177e+00)
Epoch: [5][ 30/112]	L_Src_Sup 1.6234e-01 (2.0065e-01)	L_Trg_Inj 4.0479e-01 (3.3090e-01)	Loss Disc 6.9344e-01 (6.9359e-01)	Loss Pred 7.8626e-01 (8.0145e-01)	Loss TOTAL 1.1897e+00 (1.2138e+00)
Epoch: [5][ 40/112]	L_Src_Sup 1.7927e-01 (2.0780e-01)	L_Trg_Inj 2.4826e-01 (3.2597e-01)	Loss Disc 6.9303e-01 (6.9346e-01)	Loss Pred 8.1661e-01 (7.9861e-01)	Loss TOTAL 1.2059e+00 (1.2091e+00)
Epoch: [5][ 50/112]	L_Src_Sup 1.8447e-01 (2.0753e-01)	L_Trg_Inj 4.4103e-01 (3.4181e-01)	Loss Disc 6.9056e-01 (6.9313e-01)	Loss Pred 7.8728e-01 (7.9429e-01)	Loss TOTAL 1.1951e+00 (1.2041e+00)
Epoch: [5][ 60/112]	L_Src_Sup 1.4684e-01 (2.1171e-01)	L_Trg_Inj 3.6734e-01 (3.4419e-01)	Loss Disc 6.8108e-01 (6.9204e-01)	Loss Pred 7.8463e-01 (7.9164e-01)	Loss TOTAL 1.1766e+00 (1.2027e+00)
Epoch: [5][ 70/112]	L_Src_Sup 2.3100e-01 (2.1267e-01)	L_Trg_Inj 4.4601e-01 (3.5378e-01)	Loss Disc 6.9539e-01 (6.9093e-01)	Loss Pred 7.4160e-01 (7.8947e-01)	Loss TOTAL 1.1570e+00 (1.1998e+00)
Epoch: [5][ 80/112]	L_Src_Sup 2.5581e-01 (2.0923e-01)	L_Trg_Inj 4.0442e-01 (3.5998e-01)	Loss Disc 7.0544e-01 (6.9490e-01)	Loss Pred 7.7093e-01 (7.8722e-01)	Loss TOTAL 1.1897e+00 (1.1988e+00)
Epoch: [5][ 90/112]	L_Src_Sup 1.6978e-01 (2.0715e-01)	L_Trg_Inj 3.0733e-01 (3.6055e-01)	Loss Disc 6.8820e-01 (6.9453e-01)	Loss Pred 7.2898e-01 (7.8536e-01)	Loss TOTAL 1.1208e+00 (1.1958e+00)
Epoch: [5][100/112]	L_Src_Sup 2.2595e-01 (2.0854e-01)	L_Trg_Inj 2.7721e-01 (3.5544e-01)	Loss Disc 6.7899e-01 (6.9350e-01)	Loss Pred 7.8103e-01 (7.8372e-01)	Loss TOTAL 1.1708e+00 (1.1938e+00)
Epoch: [5][110/112]	L_Src_Sup 2.8940e-01 (2.0931e-01)	L_Trg_Inj 2.2444e-01 (3.5491e-01)	Loss Disc 6.4903e-01 (6.9080e-01)	Loss Pred 7.6310e-01 (7.8189e-01)	Loss TOTAL 1.2040e+00 (1.1906e+00)
Epoch: [5][112/112]	L_Src_Sup 1.7149e-01 (2.0936e-01)	L_Trg_Inj 2.9264e-01 (3.5517e-01)	Loss Disc 6.3981e-01 (6.8993e-01)	Loss Pred 7.7346e-01 (7.8167e-01)	Loss TOTAL 1.1398e+00 (1.1899e+00)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 1.7830e-01 (2.1860e-01)	L_Trg_Inj 3.0876e-01 (3.7377e-01)	Loss Disc 5.9466e-01 (6.0993e-01)	Loss Pred 7.6449e-01 (7.5933e-01)	Loss TOTAL 1.1105e+00 (1.1251e+00)
Epoch: [6][ 20/112]	L_Src_Sup 2.2791e-01 (2.1254e-01)	L_Trg_Inj 2.8958e-01 (3.5368e-01)	Loss Disc 7.8256e-01 (6.2543e-01)	Loss Pred 7.7843e-01 (7.6571e-01)	Loss TOTAL 1.2215e+00 (1.1370e+00)
Epoch: [6][ 30/112]	L_Src_Sup 1.1122e-01 (2.0367e-01)	L_Trg_Inj 4.1341e-01 (3.3776e-01)	Loss Disc 7.6517e-01 (6.7513e-01)	Loss Pred 7.7518e-01 (7.6213e-01)	Loss TOTAL 1.2102e+00 (1.1574e+00)
Epoch: [6][ 40/112]	L_Src_Sup 1.9368e-01 (2.0392e-01)	L_Trg_Inj 4.0205e-01 (3.3410e-01)	Loss Disc 7.1897e-01 (6.9043e-01)	Loss Pred 7.5760e-01 (7.5831e-01)	Loss TOTAL 1.1767e+00 (1.1609e+00)
Epoch: [6][ 50/112]	L_Src_Sup 1.4199e-01 (2.0201e-01)	L_Trg_Inj 2.3726e-01 (3.3155e-01)	Loss Disc 7.0174e-01 (6.9373e-01)	Loss Pred 7.3824e-01 (7.5643e-01)	Loss TOTAL 1.1270e+00 (1.1595e+00)
Epoch: [6][ 60/112]	L_Src_Sup 1.6460e-01 (2.0074e-01)	L_Trg_Inj 2.6720e-01 (3.1854e-01)	Loss Disc 6.9771e-01 (6.9476e-01)	Loss Pred 7.4531e-01 (7.5465e-01)	Loss TOTAL 1.1373e+00 (1.1586e+00)
Epoch: [6][ 70/112]	L_Src_Sup 2.4614e-01 (1.9615e-01)	L_Trg_Inj 1.5904e-01 (3.1237e-01)	Loss Disc 6.9569e-01 (6.9503e-01)	Loss Pred 7.3043e-01 (7.5404e-01)	Loss TOTAL 1.2059e+00 (1.1577e+00)
Epoch: [6][ 80/112]	L_Src_Sup 2.5286e-01 (2.0377e-01)	L_Trg_Inj 3.2515e-01 (3.1537e-01)	Loss Disc 6.9439e-01 (6.9506e-01)	Loss Pred 7.7471e-01 (7.5351e-01)	Loss TOTAL 1.1797e+00 (1.1585e+00)
Epoch: [6][ 90/112]	L_Src_Sup 1.3605e-01 (2.0282e-01)	L_Trg_Inj 3.3902e-01 (3.2054e-01)	Loss Disc 6.9418e-01 (6.9498e-01)	Loss Pred 7.5332e-01 (7.5269e-01)	Loss TOTAL 1.1479e+00 (1.1574e+00)
Epoch: [6][100/112]	L_Src_Sup 1.8751e-01 (2.0358e-01)	L_Trg_Inj 3.9511e-01 (3.2052e-01)	Loss Disc 6.9365e-01 (6.9486e-01)	Loss Pred 7.3097e-01 (7.5117e-01)	Loss TOTAL 1.1361e+00 (1.1568e+00)
Epoch: [6][110/112]	L_Src_Sup 2.2287e-01 (1.9948e-01)	L_Trg_Inj 2.6313e-01 (3.1353e-01)	Loss Disc 6.9317e-01 (6.9474e-01)	Loss Pred 7.3101e-01 (7.5023e-01)	Loss TOTAL 1.1262e+00 (1.1546e+00)
Epoch: [6][112/112]	L_Src_Sup 1.9979e-01 (1.9958e-01)	L_Trg_Inj 2.0064e-01 (3.1194e-01)	Loss Disc 6.9297e-01 (6.9471e-01)	Loss Pred 6.9616e-01 (7.4956e-01)	Loss TOTAL 1.0827e+00 (1.1537e+00)
Epoch 6 complete. Saving model state...
Epoch: [7][ 10/112]	L_Src_Sup 1.6616e-01 (1.9824e-01)	L_Trg_Inj 2.3659e-01 (2.2937e-01)	Loss Disc 6.9330e-01 (6.9334e-01)	Loss Pred 7.3538e-01 (7.3280e-01)	Loss TOTAL 1.1223e+00 (1.1348e+00)
Epoch: [7][ 20/112]	L_Src_Sup 8.8716e-02 (1.9652e-01)	L_Trg_Inj 3.3239e-01 (2.3756e-01)	Loss Disc 6.9359e-01 (6.9343e-01)	Loss Pred 7.4462e-01 (7.3186e-01)	Loss TOTAL 1.1335e+00 (1.1370e+00)
Epoch: [7][ 30/112]	L_Src_Sup 2.8886e-01 (2.0262e-01)	L_Trg_Inj 3.7925e-01 (2.7804e-01)	Loss Disc 6.9427e-01 (6.9353e-01)	Loss Pred 7.5317e-01 (7.3355e-01)	Loss TOTAL 1.1671e+00 (1.1386e+00)
Epoch: [7][ 40/112]	L_Src_Sup 2.9100e-01 (2.0174e-01)	L_Trg_Inj 3.2922e-01 (2.9037e-01)	Loss Disc 6.9356e-01 (6.9359e-01)	Loss Pred 7.1389e-01 (7.2990e-01)	Loss TOTAL 1.1227e+00 (1.1336e+00)
Epoch: [7][ 50/112]	L_Src_Sup 1.6670e-01 (1.9639e-01)	L_Trg_Inj 3.8085e-01 (3.0304e-01)	Loss Disc 6.9391e-01 (6.9365e-01)	Loss Pred 7.3401e-01 (7.2904e-01)	Loss TOTAL 1.1357e+00 (1.1324e+00)
Epoch: [7][ 60/112]	L_Src_Sup 1.8082e-01 (1.9627e-01)	L_Trg_Inj 2.7699e-01 (3.0692e-01)	Loss Disc 6.9372e-01 (6.9370e-01)	Loss Pred 7.2411e-01 (7.2720e-01)	Loss TOTAL 1.1168e+00 (1.1308e+00)
Epoch: [7][ 70/112]	L_Src_Sup 2.0568e-01 (1.9999e-01)	L_Trg_Inj 4.0568e-01 (3.1163e-01)	Loss Disc 6.9317e-01 (6.9367e-01)	Loss Pred 6.8326e-01 (7.2575e-01)	Loss TOTAL 1.0910e+00 (1.1293e+00)
Epoch: [7][ 80/112]	L_Src_Sup 2.0991e-01 (2.0089e-01)	L_Trg_Inj 3.8460e-01 (3.0945e-01)	Loss Disc 6.9356e-01 (6.9365e-01)	Loss Pred 7.7301e-01 (7.2571e-01)	Loss TOTAL 1.1792e+00 (1.1298e+00)
