Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.433720529987505, std[0]=0.22055395733663094)
Loading Target Train...
Epoch: [6][ 50/112]	L_Src_Sup 2.2297e-01 (1.7148e-01)	L_Trg_Inj 5.0007e-01 (4.0526e-01)	Loss Disc 6.8678e-01 (6.8988e-01)	Loss Pred 6.3713e-01 (6.9167e-01)	Loss TOTAL 1.0528e+00 (1.0996e+00)
Epoch: [6][ 60/112]	L_Src_Sup 2.0292e-01 (2.0130e-01)	L_Trg_Inj 6.0856e-01 (4.2404e-01)	Loss Disc 6.8286e-01 (6.8932e-01)	Loss Pred 6.8802e-01 (6.8782e-01)	Loss TOTAL 1.1106e+00 (1.1056e+00)
Epoch: [6][ 70/112]	L_Src_Sup 1.5388e-01 (2.0905e-01)	L_Trg_Inj 6.0729e-01 (4.4314e-01)	Loss Disc 6.8208e-01 (6.8851e-01)	Loss Pred 6.4409e-01 (6.8526e-01)	Loss TOTAL 1.0612e+00 (1.1046e+00)
Epoch: [6][ 80/112]	L_Src_Sup 2.0001e-01 (2.1169e-01)	L_Trg_Inj 6.0554e-01 (4.5615e-01)	Loss Disc 6.8132e-01 (6.8793e-01)	Loss Pred 6.2042e-01 (6.7929e-01)	Loss TOTAL 1.0416e+00 (1.0987e+00)
Epoch: [6][ 90/112]	L_Src_Sup 0.0000e+00 (2.0906e-01)	L_Trg_Inj 5.1128e-01 (4.5296e-01)	Loss Disc 6.8586e-01 (6.8789e-01)	Loss Pred 6.3040e-01 (6.7602e-01)	Loss TOTAL 1.0245e+00 (1.0939e+00)
Epoch: [6][100/112]	L_Src_Sup 0.0000e+00 (1.9797e-01)	L_Trg_Inj 1.0627e-01 (4.3921e-01)	Loss Disc 6.9355e-01 (6.8807e-01)	Loss Pred 6.3019e-01 (6.7343e-01)	Loss TOTAL 9.8759e-01 (1.0881e+00)
Epoch: [6][110/112]	L_Src_Sup 2.8869e-01 (1.9994e-01)	L_Trg_Inj 4.9917e-01 (4.3288e-01)	Loss Disc 6.8683e-01 (6.8827e-01)	Loss Pred 6.6500e-01 (6.6956e-01)	Loss TOTAL 1.0872e+00 (1.0892e+00)
Epoch: [6][112/112]	L_Src_Sup 2.3616e-01 (1.9967e-01)	L_Trg_Inj 5.4481e-01 (4.3348e-01)	Loss Disc 6.8462e-01 (6.8826e-01)	Loss Pred 6.3939e-01 (6.6893e-01)	Loss TOTAL 1.0598e+00 (1.0883e+00)
Epoch 6 complete. Saving model state...
Epoch: [7][ 10/112]	L_Src_Sup 2.5008e-01 (2.3449e-01)	L_Trg_Inj 4.6763e-01 (5.0731e-01)	Loss Disc 6.8658e-01 (6.8650e-01)	Loss Pred 6.2737e-01 (6.2934e-01)	Loss TOTAL 1.0424e+00 (1.0486e+00)
