Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.575468652545966, std[0]=0.9216816724284855)
Loading Target Train...
Epoch: [1][210/313]	L_Src_Sup 2.3921e-01 (2.3277e-01)	L_Trg_Inj 4.7388e-01 (3.5685e-01)	Loss Disc 6.9446e-01 (6.8652e-01)	Loss Pred 9.2197e-01 (8.6972e-01)	Loss TOTAL 1.3405e+00 (1.2776e+00)
Epoch: [1][220/313]	L_Src_Sup 1.8091e-01 (2.3243e-01)	L_Trg_Inj 3.7447e-01 (3.5680e-01)	Loss Disc 6.7776e-01 (6.8664e-01)	Loss Pred 8.6196e-01 (8.6929e-01)	Loss TOTAL 1.2564e+00 (1.2773e+00)
Epoch: [1][230/313]	L_Src_Sup 3.0130e-01 (2.3327e-01)	L_Trg_Inj 5.4687e-01 (3.5932e-01)	Loss Disc 6.7172e-01 (6.8618e-01)	Loss Pred 8.1252e-01 (8.6698e-01)	Loss TOTAL 1.2332e+00 (1.2749e+00)
Epoch: [1][240/313]	L_Src_Sup 2.7892e-01 (2.3395e-01)	L_Trg_Inj 3.0438e-01 (3.6044e-01)	Loss Disc 6.8523e-01 (6.8598e-01)	Loss Pred 8.0654e-01 (8.6445e-01)	Loss TOTAL 1.2075e+00 (1.2722e+00)
Epoch: [1][250/313]	L_Src_Sup 2.2981e-01 (2.3476e-01)	L_Trg_Inj 3.7790e-01 (3.6053e-01)	Loss Disc 6.8295e-01 (6.8595e-01)	Loss Pred 8.0346e-01 (8.6172e-01)	Loss TOTAL 1.2057e+00 (1.2694e+00)
Epoch: [1][260/313]	L_Src_Sup 3.4212e-01 (2.3457e-01)	L_Trg_Inj 3.8382e-01 (3.6198e-01)	Loss Disc 6.9077e-01 (6.8588e-01)	Loss Pred 7.7898e-01 (8.5886e-01)	Loss TOTAL 1.1970e+00 (1.2664e+00)
Epoch: [1][270/313]	L_Src_Sup 4.4889e-01 (2.3672e-01)	L_Trg_Inj 2.8625e-01 (3.6233e-01)	Loss Disc 6.8190e-01 (6.8597e-01)	Loss Pred 7.8817e-01 (8.5619e-01)	Loss TOTAL 1.3653e+00 (1.2646e+00)
Epoch: [1][280/313]	L_Src_Sup 1.2879e-01 (2.3563e-01)	L_Trg_Inj 2.4017e-01 (3.6145e-01)	Loss Disc 6.8186e-01 (6.8593e-01)	Loss Pred 7.8492e-01 (8.5358e-01)	Loss TOTAL 1.1627e+00 (1.2616e+00)
Epoch: [1][290/313]	L_Src_Sup 2.9663e-01 (2.3612e-01)	L_Trg_Inj 5.2549e-01 (3.6387e-01)	Loss Disc 6.7168e-01 (6.8570e-01)	Loss Pred 7.7864e-01 (8.5108e-01)	Loss TOTAL 1.1967e+00 (1.2594e+00)
Epoch: [1][300/313]	L_Src_Sup 2.1455e-01 (2.3618e-01)	L_Trg_Inj 3.7973e-01 (3.6528e-01)	Loss Disc 6.7644e-01 (6.8550e-01)	Loss Pred 7.6980e-01 (8.4867e-01)	Loss TOTAL 1.1674e+00 (1.2568e+00)
Epoch: [1][310/313]	L_Src_Sup 2.0721e-01 (2.3629e-01)	L_Trg_Inj 3.3432e-01 (3.6589e-01)	Loss Disc 6.9379e-01 (6.8538e-01)	Loss Pred 7.6531e-01 (8.4631e-01)	Loss TOTAL 1.1664e+00 (1.2544e+00)
Epoch: [1][313/313]	L_Src_Sup 9.9664e-02 (2.3559e-01)	L_Trg_Inj 4.6321e-01 (3.6676e-01)	Loss Disc 6.7804e-01 (6.8532e-01)	Loss Pred 7.7003e-01 (8.4564e-01)	Loss TOTAL 1.1653e+00 (1.2536e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/313]	L_Src_Sup 3.0829e-01 (2.2862e-01)	L_Trg_Inj 2.0496e-01 (3.2349e-01)	Loss Disc 6.7410e-01 (6.8421e-01)	Loss Pred 7.7333e-01 (7.6555e-01)	Loss TOTAL 1.2650e+00 (1.1732e+00)
Epoch: [2][ 20/313]	L_Src_Sup 1.4138e-01 (2.3353e-01)	L_Trg_Inj 3.1642e-01 (3.5791e-01)	Loss Disc 6.6591e-01 (6.8029e-01)	Loss Pred 8.0677e-01 (7.8109e-01)	Loss TOTAL 1.1855e+00 (1.1900e+00)
Epoch: [2][ 30/313]	L_Src_Sup 1.8560e-01 (2.2205e-01)	L_Trg_Inj 3.9740e-01 (3.4887e-01)	Loss Disc 6.6876e-01 (6.7723e-01)	Loss Pred 7.8723e-01 (7.8245e-01)	Loss TOTAL 1.1799e+00 (1.1868e+00)
